1:2,3,3,9,1,6,5,8,3,2,9,4,2,4,7,2,2,6,5,7,8,1,2,6,6,5,3,4,7,5
2:9,5,4,5,1,1,7,6,2,1,6,8,8,7,5,2,7,2,1,5,6,4,9,5,2,2,3,2,5,1
3:9,3,3,8,5,7,8,8,5,8,1,4,6,5,7,9,6,6,1,7,8,3,8,5,5,6,2,7,8,5
4:6,1,4,3,2,8,6,7,9,7,7,5,1,7,7,4,2,3,1,1,5,6,1,9,2,6,3,9,9,3
5:4,7,2,1,2,3,3,7,3,6,7,9,1,7,6,4,1,5,3,6,2,9,3,5,2,3,3,1,9,6
6:6,9,7,3,2,6,9,3,2,7,3,5,7,5,4,4,9,4,3,4,1,4,9,7,7,6,2,5,6,4
7:1,6,7,6,2,4,5,3,3,3,3,6,1,7,6,6,8,8,5,9,7,6,7,2,7,3,1,4,6,3
8:9,4,2,1,3,9,1,5,3,3,6,1,6,8,9,5,2,8,6,4,7,3,9,7,8,9,8,9,4,6
9:9,6,3,5,4,2,4,9,3,6,7,8,3,3,2,7,6,1,7,6,1,9,8,6,7,9,1,8,3,1
10:5,1,6,7,7,2,3,2,8,8,5,1,5,6,1,1,5,3,5,6,7,7,4,7,3,3,6,1,2,7
11:2,9,7,7,9,4,6,1,3,3,3,1,3,2,6,8,6,8,8,4,7,1,7,6,7,3,4,5,9,5
12:3,7,8,3,7,3,1,7,3,2,2,5,7,5,1,7,5,9,6,1,8,9,5,1,7,2,3,7,2,2
13:2,6,2,6,1,4,9,5,7,9,1,3,4,4,8,8,3,8,6,3,1,8,5,5,7,9,3,9,5,2
14:1,4,8,9,2,2,1,4,9,2,1,7,3,7,2,7,8,6,3,9,3,1,8,2,6,2,3,3,7,3
15:5,1,1,9,3,8,5,4,2,7,6,3,3,5,8,4,2,8,1,2,1,1,5,3,6,3,3,1,8,2
16:9,7,4,9,9,9,2,8,4,9,9,3,2,5,3,6,5,3,3,7,4,2,7,6,9,2,1,2,3,5
17:7,9,5,8,3,9,6,7,2,9,2,4,3,2,6,3,4,6,6,5,9,9,6,9,5,7,9,7,4,5
18:5,5,1,5,3,3,2,6,3,5,5,6,1,6,4,7,7,2,5,9,8,1,4,3,4,9,9,6,5,2
19:1,5,9,2,1,9,3,6,2,3,2,5,1,1,7,3,7,7,7,5,7,5,8,4,4,2,3,5,8,1
20:5,6,8,5,2,2,5,5,3,5,1,2,8,6,2,9,3,3,2,7,9,2,5,8,3,4,1,9,2,9
21:8,6,5,1,9,1,5,1,6,4,2,8,9,9,3,6,3,4,7,9,5,5,4,9,9,6,6,6,7,5
22:6,6,9,2,7,9,8,8,3,3,2,5,1,3,4,3,5,6,4,3,9,4,3,5,9,6,4,1,4,9
23:9,7,8,8,4,5,3,1,2,6,8,7,7,5,1,8,5,3,7,9,5,5,7,5,7,1,9,6,4,9
24:2,6,8,7,3,2,7,7,1,7,6,9,7,2,1,3,5,4,7,7,2,1,5,3,5,7,9,4,5,4
25:2,7,6,9,5,7,4,7,4,5,8,9,2,5,5,4,1,7,8,6,3,6,8,4,1,5,8,4,7,4
26:7,6,7,9,9,1,1,8,1,2,6,3,7,6,8,7,5,4,3,5,3,7,4,5,4,3,3,9,4,6
27:1,9,3,5,7,1,9,7,8,5,7,5,4,6,6,7,7,6,6,8,3,9,6,7,2,4,9,4,8,5
28:5,1,8,7,1,9,4,6,2,7,1,2,1,8,4,8,6,6,8,7,7,1,1,4,6,1,8,4,9,6
29:2,8,8,2,5,6,9,7,8,4,3,3,7,6,1,2,2,9,9,8,8,4,8,5,5,8,3,2,3,8
30:6,2,7,4,2,3,3,9,8,9,8,8,7,3,5,4,9,8,7,4,4,5,3,9,5,9,7,9,5,2
31:8,3,7,7,8,3,1,7,3,4,5,7,7,9,6,4,6,1,8,8,8,5,9,7,7,3,3,1,5,9
32:8,4,7,8,4,4,2,6,4,6,1,3,1,3,1,5,8,7,5,9,8,1,2,7,4,7,5,4,7,5
33:3,9,9,7,4,3,9,9,7,9,7,4,1,1,9,2,7,1,7,6,9,9,4,2,9,1,9,9,2,5
34:9,4,7,5,5,3,8,5,9,8,5,3,1,9,2,3,8,2,9,3,3,1,5,3,8,1,2,8,3,8
35:8,7,9,9,6,4,3,6,5,4,2,6,4,5,5,8,2,7,1,1,4,9,1,6,1,5,4,2,1,4
36:6,6,4,3,4,3,2,1,8,3,1,4,9,2,5,4,5,5,4,1,3,2,1,8,5,3,3,8,1,3
37:2,8,5,6,7,5,9,3,8,9,4,7,7,6,9,3,2,8,3,9,5,5,8,4,3,9,8,3,9,5
38:8,4,9,2,6,9,7,6,6,3,6,5,5,8,6,9,2,5,6,4,3,3,9,6,4,7,7,8,4,7
39:2,1,1,1,1,2,5,9,4,3,2,9,8,9,2,6,7,1,2,1,3,9,9,1,8,1,9,4,2,4
40:1,6,5,1,5,4,5,7,3,2,3,2,3,3,1,4,2,4,9,8,4,5,3,5,5,6,7,1,7,6
41:6,1,8,1,8,8,7,2,4,7,8,2,2,7,2,9,1,1,1,8,6,4,1,6,1,4,6,5,1,7
42:5,3,9,4,7,9,2,6,8,6,2,5,9,2,4,5,9,6,4,6,8,8,7,1,6,6,7,2,7,6
43:6,2,6,9,8,5,2,1,1,4,4,8,3,6,8,2,1,6,2,9,6,3,6,4,3,1,2,4,6,5
44:3,6,7,3,8,8,2,1,1,1,4,7,8,3,8,5,3,7,7,7,3,5,9,4,7,7,8,3,5,6
45:8,2,9,3,2,9,9,8,5,6,1,9,2,2,1,6,3,7,9,8,4,3,7,1,1,4,1,1,3,9
46:5,2,1,3,4,8,8,4,4,5,1,9,9,7,5,5,5,2,1,7,2,6,3,3,6,5,9,5,8,5
47:6,9,4,2,9,8,7,8,3,7,8,3,7,9,9,9,7,4,4,3,8,2,8,5,7,4,2,8,9,7
48:2,8,7,6,4,9,1,6,8,7,6,6,1,9,1,5,4,2,3,3,8,4,4,9,9,3,9,9,8,9
49:2,2,7,7,9,5,7,1,8,6,9,1,1,7,8,4,2,8,9,2,6,8,3,4,8,2,9,2,6,3
50:4,1,5,2,1,8,1,7,8,9,8,9,5,6,8,2,3,9,2,1,3,2,6,8,6,4,1,2,2,1
51:6,8,7,4,7,1,8,7,5,6,9,3,2,3,3,4,1,3,1,8,4,7,5,9,2,4,1,4,2,8
52:9,6,4,6,1,4,7,2,2,5,2,5,5,7,2,9,6,7,7,1,6,1,9,6,5,4,8,3,6,6
53:9,5,5,3,2,8,4,9,4,9,3,7,6,1,7,6,8,1,5,6,1,6,1,8,7,5,6,4,7,6
54:3,6,6,4,2,9,1,7,6,5,7,7,3,2,2,2,6,1,6,5,9,1,2,6,2,3,2,1,4,3
55:8,9,6,2,8,1,1,8,7,5,4,7,8,8,5,9,8,1,1,2,3,3,3,9,8,4,3,3,8,6
56:2,1,2,2,4,4,7,6,9,8,4,8,6,8,7,5,3,3,3,1,7,6,8,7,5,4,7,6,9,7
57:5,4,2,7,4,2,9,5,3,8,9,4,6,1,1,3,7,8,3,6,7,9,7,5,4,6,1,6,6,5
58:2,5,2,9,2,5,6,1,3,9,3,7,9,5,1,5,7,8,3,1,4,2,5,1,7,1,5,3,7,5
59:5,1,4,4,3,1,6,6,2,7,4,2,5,1,9,4,9,5,8,8,2,1,6,2,3,8,1,5,3,2
60:6,8,4,3,7,4,7,7,4,4,5,8,9,7,9,9,2,6,9,3,3,4,1,2,3,7,5,2,6,2
61:4,5,6,3,8,5,1,4,5,4,2,2,4,6,3,4,6,8,1,7,7,6,3,3,8,9,9,9,8,7
62:3,2,2,2,5,5,3,1,6,1,2,5,7,2,9,5,3,7,1,6,4,8,6,7,8,7,1,6,4,3
63:3,9,2,4,1,6,1,7,1,6,7,7,1,9,5,6,7,8,2,9,9,5,4,4,9,7,8,1,6,4
64:4,1,2,5,1,5,2,7,2,2,8,9,7,2,2,4,3,3,8,1,4,6,7,5,3,6,8,3,5,3
65:3,5,2,3,2,2,2,1,3,4,6,3,9,1,1,7,5,1,9,2,8,8,1,7,3,1,3,1,1,2
66:7,7,3,1,2,6,4,6,5,1,9,5,5,5,5,1,9,9,2,2,4,3,8,8,2,9,2,5,3,9
67:8,4,3,7,8,1,8,2,2,5,1,8,3,8,5,7,9,5,1,9,7,5,2,1,5,1,7,2,8,4
68:1,8,4,2,2,7,8,1,2,3,6,5,3,7,8,5,8,6,6,4,7,2,1,6,6,7,2,9,7,4
69:6,5,5,8,7,9,5,4,3,5,4,8,9,9,3,8,4,6,5,7,9,8,6,4,7,4,8,4,5,6
70:1,1,7,1,8,1,2,9,8,2,4,7,4,5,1,3,6,1,8,9,3,5,2,5,4,6,5,5,1,1
71:3,4,2,9,6,5,9,6,9,4,7,4,9,4,1,2,5,2,7,8,1,7,1,4,4,5,8,2,5,8
72:4,4,1,3,4,7,8,6,3,6,1,2,5,6,6,2,6,8,2,1,8,5,4,3,3,1,8,1,4,7
73:6,6,4,4,7,1,5,9,3,9,8,9,2,5,3,7,4,6,1,2,6,1,6,7,4,9,8,8,6,8
74:6,2,2,7,2,8,9,1,3,9,7,6,6,9,6,4,5,9,5,1,7,3,6,7,9,2,5,5,6,4
75:1,3,2,2,6,4,7,1,3,7,9,2,2,6,3,1,2,3,3,9,6,3,4,6,8,4,8,7,1,3
76:7,9,5,3,6,1,4,8,6,9,4,6,8,2,3,8,7,8,3,1,1,6,7,3,2,4,2,3,6,5
77:4,1,4,2,1,8,8,2,6,1,9,5,2,3,5,1,6,2,6,8,3,6,4,4,1,9,7,5,6,1
78:2,2,9,2,2,7,7,5,5,4,1,9,5,2,6,3,4,7,3,4,5,3,4,2,2,7,9,5,4,2
79:6,1,1,4,6,4,9,1,1,4,8,3,3,2,7,6,2,9,5,8,3,9,3,6,4,7,7,3,3,9
80:6,4,2,3,4,9,7,2,8,1,8,4,3,4,9,9,3,8,6,2,7,6,9,2,4,1,9,9,4,1
81:9,3,9,6,3,4,4,1,2,4,6,8,4,1,7,5,9,5,4,7,5,6,9,2,2,8,9,8,7,3
82:7,5,1,8,8,4,5,3,1,9,6,9,1,1,9,6,5,3,3,2,2,1,5,4,7,8,1,6,9,7
83:4,3,6,9,2,2,6,9,5,2,5,3,8,6,5,7,9,6,1,8,6,1,6,2,1,2,3,6,6,2
84:8,2,9,6,8,2,8,8,5,4,8,1,5,8,6,5,6,4,4,2,6,2,7,1,7,2,7,6,8,7
85:3,1,5,9,5,7,8,9,8,6,4,2,6,6,7,1,3,4,7,4,3,1,1,4,5,7,7,8,1,8
86:4,7,3,3,8,6,8,9,8,2,6,9,9,5,8,6,4,9,8,1,7,3,7,6,1,8,2,6,9,3
87:7,5,3,5,9,9,6,6,1,7,1,4,9,2,9,4,5,2,1,7,7,7,2,7,2,5,9,4,2,8
88:5,1,3,9,8,6,5,7,1,6,2,8,8,4,9,4,2,6,8,9,6,6,5,7,5,3,3,7,7,7
89:5,4,1,5,5,9,4,3,5,2,6,1,2,7,7,9,5,6,8,3,2,7,1,3,7,8,6,1,5,7
90:3,6,2,4,2,1,1,8,7,4,9,4,2,8,8,5,8,1,3,4,6,5,9,6,7,9,3,4,6,9
91:5,7,1,8,9,5,4,2,2,7,8,6,4,4,4,7,9,3,2,7,1,7,8,9,1,3,4,6,5,8
92:8,6,2,8,9,1,5,4,2,5,2,2,8,6,1,7,2,6,2,8,4,8,4,6,5,3,5,6,3,1
93:4,4,1,6,4,7,1,2,1,7,9,4,6,2,9,6,9,6,2,5,9,8,1,1,1,6,4,3,7,2
94:8,3,3,4,6,5,1,6,4,4,3,4,9,7,7,9,9,4,3,3,9,6,1,1,4,9,7,8,3,9
